"id_ubicacion","barrio","comuna","latitud","longitud","zona","poblacion"
1,"Parque Patricios","4",-34.637121,-58.405611,"Sur",229240
2,"Boedo","5",-34.625435,-58.416104,"Centro",194271
3,"Nueva Pompeya","4",-34.652015,-58.416374,"Sur",229240
4,"Monserrat","1",-34.608602,-58.374939,"Centro",223554
5,"Caballito","6",-34.608797,-58.449165,"Centro",203043
6,"Parque Chacabuco","7",-34.643576,-58.441477,"Centro",215896
7,"Constitucion","1",-34.626937,-58.382237,"Centro",223554
8,"Almagro","5",-34.603174,-58.420959,"Centro",194271
9,"San Nicolas","1",-34.604035,-58.380964,"Centro",223554
10,"Villa Soldati","8",-34.67882,-58.45627,"Sur",204367
11,"Recoleta","2",-34.594442,-58.402354,"Norte",161645
12,"Villa Lugano","8",-34.674789,-58.466394,"Sur",204367
13,"Retiro","1",-34.58842,-58.37594,"Centro",223554
14,"Villa Riachuelo","8",-34.697853,-58.470014,"Sur",204367
15,"Palermo","14",-34.578168,-58.426535,"Norte",248635
16,"Belgrano","13",-34.562037,-58.456695,"Norte",264385
17,"Villa Luro","10",-34.637573,-58.496495,"Sur",173004
18,"Versalles","10",-34.63133,-58.51416,"Sur",173004
19,"Liniers","9",-34.639342,-58.528792,"Sur",169063
20,"Villa Real","10",-34.618134,-58.530338,"Sur",173004
21,"Monte Castro","10",-34.625336,-58.507613,"Sur",173004
22,"Velez Sarsfield","10",-34.636888,-58.485439,"Sur",173004
23,"Balvanera","3",-34.604562,-58.405475,"Centro",196240
24,"San Telmo","1",-34.619138,-58.375875,"Centro",223554
25,"Flores","7",-34.649197,-58.440418,"Centro",215896
26,"Paternal","15",-34.597788,-58.465943,"Centro",196876
27,"Nuñez","13",-34.535844,-58.466808,"Norte",264385
28,"Saavedra","12",-34.539371,-58.475488,"Centro",236887
29,"Villa Devoto","11",-34.589282,-58.519116,"Centro",204601
30,"San Cristobal","3",-34.622731,-58.391495,"Centro",196240
31,"Chacarita","15",-34.584535,-58.454604,"Centro",196876
32,"No Especificado","No especificado",NA,NA,NA,NA
33,"Villa Crespo","15",-34.594302,-58.430063,"Centro",196876
34,"Floresta","10",-34.632061,-58.474604,"Sur",173004
35,"Colegiales","13",-34.569953,-58.444888,"Norte",264385
36,"Barracas","4",-34.654819,-58.398481,"Sur",229240
37,"Puerto Madero","1",-34.61,-58.362,"Centro",223554
38,"Boca","4",-34.618686,-58.355815,"Sur",229240
39,"Villa Santa Rita","11",-34.620496,-58.474189,"Centro",204601
40,"Villa Gral. Mitre","11",-34.611303,-58.467848,"Centro",204601
41,"Villa Del Parque","11",-34.597464,-58.49822,"Centro",204601
42,"Villa Ortuzar","15",-34.5799,-58.474306,"Centro",196876
43,"Parque Chas","15",-34.586,-58.47931,"Centro",196876
44,"Villa Pueyrredon","12",-34.569999,-58.509038,"Centro",236887
45,"Villa Urquiza","12",-34.57788,-58.4798,"Centro",236887
46,"Coghlan","12",-34.565108,-58.470986,"Centro",236887
47,"Mataderos","9",-34.667959,-58.493606,"Sur",169063
48,"Parque Avellaneda","9",-34.641301,-58.479928,"Sur",169063
49,"Agronomia","15",-34.596645,-58.496893,"Centro",196876
50,"Paternal","11",-34.597788,-58.465943,"Centro",204601
